file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,setUpper/1[int],false,164,0,1,1,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,3,0,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,getUpper/0,false,160,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,"RandomColor/3[int,int,int]",true,124,1,5,2,3,2,3,8,0,0,3,3,3,1,0,0,0,0,1,0,0,0,1,0,0,0,13,0,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,getColor/0,false,133,1,5,2,3,1,5,6,1,3,0,5,3,1,0,0,0,0,0,3,3,9,0,0,0,0,9,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,setLower/1[int],false,155,0,1,1,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,3,0,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,getAlpha/0,false,141,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,setAlpha/1[int],false,145,0,1,1,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,3,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\utils\ColorUtils.java,com.xuexiang.xupdate.utils.ColorUtils$RandomColor,getLower/0,false,151,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\entity\ApiResult.java,com.xuexiang.xupdatedemo.entity.ApiResult,setCode/1[int],false,43,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\entity\ApiResult.java,com.xuexiang.xupdatedemo.entity.ApiResult,setData/1[T],false,61,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\app\src\main\java\com\xuexiang\xupdatedemo\entity\ApiResult.java,com.xuexiang.xupdatedemo.entity.ApiResult,setMsg/1[java.lang.String],false,52,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
