file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\spellcheck\AndroidSpellCheckerSessionFactory.java,org.dslul.openboard.inputmethod.latin.spellcheck.AndroidSpellCheckerSessionFactory,class,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1025,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\utils\CursorAnchorInfoUtils.java,org.dslul.openboard.inputmethod.latin.utils.CursorAnchorInfoUtils,class,15,16,1,15,36,1,0,47,6,0.0,NaN,NaN,4,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,158,7,4,6,0,3,0,24,74,17,54,6,0,0,0,130,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\KeyboardLayoutSet.java,org.dslul.openboard.inputmethod.keyboard.KeyboardLayoutSet$KeyboardLayoutSetException,innerclass,1,1,0,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,10,25,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\makedict\WordProperty.java,org.dslul.openboard.inputmethod.latin.makedict.WordProperty,class,13,20,7,13,34,1,0,22,30,0.7,0.25,0.2777778,12,3,9,3,0,0,9,0,0,0,10,0,9,1,0,0,9,0,10,112,16,5,13,0,1,0,8,38,0,26,2,0,0,0,89,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\utils\XmlParseUtils.java,org.dslul.openboard.inputmethod.latin.utils.XmlParseUtils$ParseException,innerclass,2,2,0,2,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,9,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\internal\TimerHandler.java,org.dslul.openboard.inputmethod.keyboard.internal.TimerHandler,class,8,10,2,8,43,3,0,25,175,0.8521739,0.15151516,0.6017316,23,0,22,1,0,0,22,0,0,0,10,8,0,10,0,0,10,0,0,152,11,0,8,0,1,0,10,20,0,20,2,0,0,0,88,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\settings\SpacingAndPunctuations.java,org.dslul.openboard.inputmethod.latin.settings.SpacingAndPunctuations,class,7,17,10,7,20,1,0,15,18,0.7179487,0.36363637,0.8333333,12,0,12,0,0,0,12,0,0,0,13,0,6,7,0,0,13,0,19,98,10,0,2,0,0,20,8,29,10,16,0,0,0,0,54,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\utils\StatsUtilsManager.java,org.dslul.openboard.inputmethod.latin.utils.StatsUtilsManager,class,4,6,2,4,8,1,0,0,19,0.78571427,0.04761905,0.04761905,7,2,7,0,0,0,7,0,0,0,2,2,0,2,0,0,1,0,0,20,1,0,1,0,0,1,0,3,0,2,0,0,0,0,30,1,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\latin\settings\Settings.java,org.dslul.openboard.inputmethod.latin.settings.Settings,class,19,47,28,19,77,1,0,47,1668,0.9829329,0.03798948,0.061952073,61,46,59,2,0,0,59,0,0,0,73,68,58,15,0,0,69,0,20,316,49,0,12,2,8,63,7,93,2,92,2,1,0,0,177,17,0
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\openboard\app\src\main\java\org\dslul\openboard\inputmethod\keyboard\KeyboardLayoutSet.java,org.dslul.openboard.inputmethod.keyboard.KeyboardLayoutSet,class,14,21,7,14,28,4,0,22,14,0.85714287,0.06666667,0.06666667,8,4,5,2,0,1,6,0,0,0,14,12,1,13,0,0,14,0,4,361,6,1,8,1,4,14,5,32,6,25,2,0,4,0,169,17,0
